ADESSO;NOW
AGGREGA;AGGREGATE
AMBIENTE.INFO;INFO
AMMORT;DDB
AMMORT.ANNUO;SYD
AMMORT.COST;SLN
AMMORT.DEGR;AMORDEGRC
AMMORT.FISSO;DB
AMMORT.PER;AMORLINC
AMMORT.VAR;VDB
ANNO;YEAR
ANNULLA.SPAZI;TRIM
ARABO;ARABIC
ARCCOS;ACOS
ARCCOSH;ACOSH
ARCCOT;ACOT
ARCCOTH;ACOTH
ARCSEN;ASIN
ARCSENH;ASINH
ARCTAN;ATAN
ARCTAN.2;ATAN2
ARCTANH;ATANH
AREE;AREAS
ARROTONDA;ROUND
ARROTONDA.DIFETTO;FLOOR
ARROTONDA.DIFETTO.MAT;FLOOR.MATH
ARROTONDA.ECCESSO;CEILING
ARROTONDA.ECCESSO.MAT;CEILING.MATH
ARROTONDA.MULTIPLO;MROUND
ARROTONDA.PER.DIF;ROUNDDOWN
ARROTONDA.PER.ECC;ROUNDUP
ASIMMETRIA;SKEW
ASIMMETRIA.P;SKEW.P
ASS;ABS
BAHTTESTO;BAHTTEXT
BASE;BASE
BESSEL.I;BESSELI
BESSEL.J;BESSELJ
BESSEL.K;BESSELK
BESSEL.Y;BESSELY
BINARIO.DECIMALE;BIN2DEC
BINARIO.HEX;BIN2HEX
BINARIO.OCT;BIN2OCT
BIT.SPOSTA.DX;BITRSHIFT
BIT.SPOSTA.SX;BITLSHIFT
BITAND;BITAND
BITOR;BITOR
BITXOR;BITXOR
BOT.EQUIV;TBILLEQ
BOT.PREZZO;TBILLPRICE
BOT.REND;TBILLYIELD
CAP.CUM;CUMPRINC
CARATT.UNI;UNICHAR
CASUALE;RAND
CASUALE.TRA;RANDBETWEEN
CELLA;CELL
CERCA;LOOKUP
CERCA.ORIZZ;HLOOKUP
CERCA.VERT;VLOOKUP
CODICE;CODE
CODICE.CARATT;CHAR
CODIFICA.URL;ENCODEURL
COLLEG.IPERTESTUALE;HYPERLINK
COLONNE;COLUMNS
COMBINAZIONE;COMBIN
COMBINAZIONE.VALORI;COMBINA
COMP.ARGOMENTO;IMARGUMENT
COMP.CONIUGATO;IMCONJUGATE
COMP.COS;IMCOS
COMP.COSH;IMCOSH
COMP.COT;IMCOT
COMP.CSC;IMCSC
COMP.CSCH;IMCSCH
COMP.DIFF;IMSUB
COMP.DIV;IMDIV
COMP.EXP;IMEXP
COMP.IMMAGINARIO;IMAGINARY
COMP.LN;IMLN
COMP.LOG10;IMLOG10
COMP.LOG2;IMLOG2
COMP.MODULO;IMABS
COMP.PARTE.REALE;IMREAL
